date,headlines,fed_rate
2011-08-01,"Chinese doctors to call for bear farms to be closed Japanese breakthrough will make wind power cheaper than nuclear Israel sends 2 warships to Egyptian border;"" Iran set to send fleet to area as well News Corp. Hunkers Down: Murdochs to Testify Under Oath -- A British High Court will hear the testimonies of top News Corp. executives in October Futuristic 'airships' planned for North Blair and Bush planned Iraq war without second UN vote letter shows"""" Israeli military arms settlers in preparation for Palestinian protests. West Bank settlers are given training before protests predicted to coincide with a Palestinian petition for UN recognition"";;;;;;;",0.1
2011-09-01,"Iran blocks Tor;"" Tor releases same-day fix US tycoon Donald Trump's plea to Scotland's first minister over 'ugly' wind farm to be built near his luxury golf resort Berlusconi calls German Chancellor Merkel an """"""""unfuckable lard-arse"""""""""""" Dutch Doctors campaign against 'risky and painful' circumcision of boys India to Give 6.8 million free Laptops to School children. Taliban and Nato engage in online flamewar on Twitter Driver refuses to let Australian Prime Minister on bus with other leaders tells her to get on the spouses' bus instead"""" Did anyone else miss the news that Egypt revived its emergency laws last week? Psychological Profile Of Anonymous Leadership --- Leaked FBI document. Looks real. Anonymous """"""""a potential threat to national security"""""""". Leaders include Sabu who """"""""shows compulsive behavior"""""""" by correcting spelling on chat logs"";"" Kayla who """"""""claims to be a girl"""""""" but probably isn't"""" Exposed After Eight Years --- "";;;;;;",0.08
2011-10-01,"Apple Continues To Insist Only It Can Use An Apple In A Logo;"" Threatens Small German Cafe London's Metropolitan Police discovers existence of a secret mobile phone within News International's east London HQ that was used in more than 1 000 incidents of illegal hacking"""" A top US government official believes that the internet is under fierce attack by authoritarian governments worldwide and that the situation is rapidly deteriorating."";;;;;;;",0.07
2012-01-01,"Shell oil company refuses to clean up its African oil spill. Doctors Without Borders loses contact with 130 staff members in South Sudan;"" clinic destroyed World's 1st Hybrid Sharks Discovered Near Australia -  Scientists have found not 1 not 2 but 57.  While the idea may bother some marine biologists say these offspring of 2 genetically distinct species represent an extraordinary &amp"";"" totally unprecedented discovery in the world of sharks."""" Indian activists have reacted angrily after 12 doctors were fined less than $100 each for conducting secret drug trials on children and patients with learning disabilities. Everyone Is Starting To Worry That Hungary Is Sliding Into Dictatorship Iran threatens to take action if U.S. carrier returns to Persian Gulf. Belarus Has Outlawed Browsing Foreign Websites - Forbes How To Be A Dictator --- "";;;;;;",0.08
2012-02-01,"Bulgaria refuses to ratify ACTA Dutch Parliament Rejects ACTA On Human Rights Violations Academics vote 'shitstorm' as German's best English loanword Iran Cuts Oil Exports to Europe;"" Begins Using Its Own Nuclear Fuel Greece is Now the Unhappiest Nation in Europe Iran activates nuclear reactor says underground bunker is fully operational"""" Return of the toy protesters. Siberian authorities ban new protest because toys 'are not citizens of Russia' Honduras prison fire kills at least 272 inmates official says: another describes """"""""hellish"""""""" scenes."""" Gaza Strips only power station which supplies the Palestinian enclave with up to two-thirds of its energy needs has been shut down due to a shortage of fuel smuggled in from neighboring Egypt"""" Palestinian man arrested by Israel held without charge is on day #59 of a hunger strike."""" Iran Foreign Minister: """"""""Iran is the biggest victim of terrorism"""""""""""" 'These are clearly crimes against humanity':  The Head of Human Rights Watch Kenneth Roth says the Assad regime is committing crimes against humanity and condemns Russia and China for their callous indifference towards Syrian lives. An Observer in Athens: """"""""The Greek people have gone to war against the system"""""""""""" How secret renditions shed light on MI6's licence to kill and torture Italy prosecutors seek 5-year jail term for Berlusconi ... on charges of paying British lawyer David Mills a $600K (382K pound) bribe to lie about the former prime minister's business interests RSF: Israeli troops take aim at photojournalists covering protests in West Bank Iran stops oil exports to six EU countries. Syria won't accept peacekeepers: Syrian Ambassador to China Hundreds of inmates burn to death in massive Honduras prison fire Metal code flesh: Why we need a 'Rights of the Internet' declaration."""" Russian Submarine Fire Last Year Almost Resulted In Nuclear 'Catastrophe' - Vlaast magazine has a story unfortunately not online that says that the ship was at the time carrying 16 missiles each full of fuel with 4 nuclear warheads on each missile."""" In letter Iran says it's ready for nuclear talks - Yahoo! News"""" At least 200 killed in Honduras prison fire Bahrain deports 6 Americans for """"""""illegal"""""""" activities"""" As Sarkozy seeks new term French are wary of 'Merkozy':  An embattled French President Nicolas Sarkozy is touting his strong ties with powerful German chancellor Angela Merkel as he prepares to announce his bid for a second term today. """""";;;;;;;",0.1
2012-04-01,"ACTA Could be Passed in 10 Weeks;"" Take Action Before Its Too Late Tunisia rejects shariah in new constitution UK teachers no longer teaching just 'training' kids to pass exams.. (with a little help)"""" North Korea rocket test will cost $850m USD equivalent of feeding 19 million people for 1 year - Yonhap News"""" Tibetan immolations largely unnoticed among historys biggest waves of suicide-by-fire. The stunning protests are going largely unnoticed in the wider world  due in part to a smothering Chinese security crackdown in the region that prevents journalists from covering them."";;;;;;; Oxford University and the Vatican Library to digitize 1.5 million pages of ancient texts and images and make them freely available online ACTA Suffers Major Setback;"" European Parliament Will Seemingly Reject Legislation North Korea launches long-range rocket | YONHAP NEWS At Fallujah hospital they cannot offer any statistics on children born with birth defects  there are just too many. Parents dont want to talk. """"""""Families bury their newborn babies after they die without telling anyone """" Anti-gay adverts which were scheduled to be on London buses have been blocked by the conservative mayor of London Boris Johnson Hundreds of orangutans killed in north Indonesian forest fires deliberately started by palm oil firms. Christian anti-gay adverts to be placed on London buses London mayor sued after banning Christian group's anti-gay ads on buses 14-Year-Old Girls to be Charged with Attempted Murder in Beating of Classmate with Disability"";;;;;;;",0.14
2012-05-01,"Worried about online porn? Don't regulate the net  regulate your kids."";;;;;;;; Britain: 50 policemen raided seven addresses and arrested 6 people for making 'offensive' and 'anti-Semitic' remarks on Facebook Emergency law considered in Quebec as thousands of students protest tuition;"" 122 arrests Ottawa: 74-year-old man who was beaten in a home invasion called for help - only to be arrested and thrown in jail for more than two months. Canada's Internet surveillance bill is not dead and is instead moving forward"";"" the bill is being pushed under the guise of protecting Canadians from child pornography and organized crime but the bill makes no mention of child pornography in its actual text"""" France's new Prime Minister Jean-Marc Ayrault said Wednesday that his cabinet will announce a 30% salary cut for its members when it meets for the first time on Thursday. Its setting an example he said in an interview. """" Chinese boats seized by North Koreans. Pupils in Ireland expelled after abusive Facebook posts about teachers The Rise of Europe's Private Internet Police: """"""""the job of policing the Internet is falling to private intermediaries -- companies that are under little or no legal obligation to uphold citizens' rights."""""""""""" Russian teacher who reported vote fraud on trial:  A teacher went on trial Wednesday after publicly claiming that she was pressured to help rig Russia's parliamentary election to boost the results for Vladimir Putin's party Iran threatens legal action against Google for not labeling Persian Gulf German Chancellor Angela Merkel will soon have an extra 930 in her pocket each month after the country's cabinet decided on Wednesday to award themselves their first pay rise for over a decade."""" Indian Supreme Court orders Pirate Bay Pastebin blocks gets DDoSed"""" Foreign holders of 422bn of Greek debt were warned to brace themselves for """"""""killer losses"""""""" as coalition talks in Athens collapsed threatening Greece's future in the eurozone. """" North Koreans 'holding 29 Chinese fishermen' and are demanding payment for their release Chinese media says."""" UK exam boards making money from their own mistakes - the man who raised the alarm is suspended as means of silencing him Controversial Islamic school ordered out of Toronto public school property-Police investigating into alleged anti-Semitic course material Pakistan seeks $5 000 transit fee for each NATO container and tanker that transits its territory by land into and out of Afghanistan"""" Invisible Censorship: How Indian Government Censors Without Being Seen WikiLeaks may have been responsible for exposing Majid Jamali Fashi who was hanged in Tehran on Tuesday morning after confessing to assassinating a nuclear scientist on behalf of Israel"""" Iran's Ahmadinejad wants to attend London Olympics to back Iran athletes says Britain won't host him"""" In Japan the Lights are Already Starting to Go Out..."";;;;;;",0.16
2012-06-01,"Vatican Banker Running Scared - Ousted head of Vatican bank may have evidence that the organization is involved in money laundering&amp;"" now he's afraid for his life. One day before a major opposition rally Russian police raid the homes of prominent protest leaders"""" """"Hockey Newfoundland and Labrador has slapped a junior hockey coach with a one-year suspension for allowing his players to study for exams instead of attending the opening ceremony for a recent tournament."""""""""""" China topped USA in renewable energy investment in 2011 Saudi 'Got Talent ' But No Women or Music - City creates its own version of 'Arabs Got Talent' but with no music &amp""; women have been banned from taking part. Instead competitors will be permitted to perform religious chants recite poems &amp;"" engage in sports."""" British PM Daivd Cameron forgets 8-year old daughter in country pub Egypt pulls TV ads warning foreigners may be spies after xenophobia fears With recently gained power German Socialists and Greens have forced Merkel into a U-turn &amp"";"" required a new Financial Transactions Tax into the new EU Treaty."""" NATURE magazine: Earth Facing Imminent Environmental 'Tipping Point' Man defects to North Korea with his family willingly on false prospects of a better life then only manages to escape alone a year later."""" Fear mounts among African migrants as Israel begins deportation: The South Sudanese are the most concerned of all after a Jerusalem court last week legitimized their deportation."""" Mubarak in 'full coma' officials say"""" Shuttlecock Machine-Gun: Russia's New Anti-Riot Weapon South Korean Paper Hit by Major Cyber Attack - "";;;; Pure ecstacy (MDMA) can be safe for adults;"" should be regulated and sold in stores: B.C. health officer Canadian researchers thwart Ebola virus - The Globe and Mail Germany bans ultraconservative Islamic organization Over 50 Zetas Drug Cartel Members Including 2 Active Duty Policemen Women &amp"";"" children Arrested in Mexico"""" Italian prosecutors suspect Vatican bank is laundering Sicilian mafia $$$ Child shelter home scandal rocks India: '5-yr-olds made to perform oral sex naked yoga'"""" Cleric declares jihad against polio campaign in Pakistan Gaza water too contaminated to drink Japan moves closer to restarting nuclear reactors The rise of Greece's far-Right Golden Dawn party has led to a spate of vicious attacks against immigrants that it is feared will only increase after a new election is held on Sunday. 500 meter asteroid passes close to Earth today.  "";;;;;;",0.16
2012-10-01,"14-year-old Pakistani activist Malala Yousafzai has been shot;"" she had been on a Taliban 'hit list' since March after giving her diary to the BBC in the wake of women being forbidden an education in her town Jewish settlers attack undercover police officers posing as Palestinian shepherds Mexican navy says Zetas cartel founder Heriberto Lazcano apparently killed in confrontation Officer who killed Brazilian student  with taser says he likely would've used the weapon even if he'd known the male had only stolen biscuits - He died after 11 officers  tasered him 14 times handcuffed him used capsicum spray &amp"";"" used a baton to fight his """"""""superhuman strength""""""""."""" The Guardian: Greek anti-fascist protesters 'tortured by police' Quantum particle work wins Nobel for French U.S. scientists:  A French and an American scientist won the Nobel Prize on Tuesday for finding ways to measure quantum particles without destroying them which could make it possible to build a new kind of computer far more powerful than any seen before."""" South African president Jacob Zuma uses $30million of taxpayer money to 'upgrade' personal home 'Saudi weapons' intended for the Saudi military seen at Syria rebel base Putting Profits Before Nutrition: "";;;;;; Italian church to be stripped of tax exemption from 2013: The extra revenue from these exempt properties - including hotels restaurants and sports centres - could be 25.5m a year in Rome alone"""" Spot where Julius Caesar was stabbed discovered Weeks after posting a haunting Youtube video on her years of torment at classmates hands 15-year-old B.C. girl commits suicide."""" The European Union wins the Nobel Peace Prize 2012 (google translate article). In Haiti Little Can Be Found of a Hip-Hop Artists Charity:   The charity created by Wyclef Jean the Haitian-born hip-hop celebrity effectively went out of business last month leaving a trail of debts unfinished projects and broken promises."""" UN: Human rights activists beaten raped in Iran"""" Prince of Sealand dies aged 91 China's official Womens Federation: """"""""Pretty girls dont need a lot of education to marry into a rich and powerful family but girls with an average or ugly appearance will find it difficult. ... by the time they get their M.A. or Ph.D. they are already old like yellowed pearls."""""""""""" What it means to be 'living under drones' - latimes.com Pakistan Arrests Three Men In Taliban Shooting Of 15-"";;;;;;;;",0.16
2012-11-01,"Hamas executes six suspected collaborators with Israel;"" body dragged through street - San Jose Mercury News Moscow bans protest against political repressions 'due to lack of political repression' After 8 more rhinos were slaughtered over the weekend South African army deployed to assist in the war against poaching.  So far a staggering 570 rhinos have been killed this year within the country's borders."""" Marijuana legalization or decriminalization backed by most Canadians: poll - thestar.com B.C Marijuana tax could net billions if pot is Legalized Dutch govt scraps `weed pass' for coffee shops. Dope-selling coffee shops in Amsterdam won't be shutting their doors to foreign visitors a huge relief to the hundreds of thousands of tourists who enjoy a toke or two in the Dutch capital alongside their excursions on the canals and to the museums."""" National anguish at death of five Chinese street children: The deaths of five street children who poisoned themselves after lighting a fire to fend off the cold have triggered an outpouring of online grief and reinforced a national debate over Chinas growing wealth gap. India hangs Mumbai gunman Ajmal Kasab The video of a teenage girls random assault that has London up in arms. British police have released this very disturbing video reportedly captured by a nearby closed-circuit camera of a man attacking a 16-year-old girl for what authorities say is no discernible reason."""" Norway to cull the 25 wolves in their country Volcano erupts in new zealand. Mohammed Kasab the sole surviving gunman from the 2008 Mumbai attacks has been hanged in an Indian prison"""" Iranian news agency says the head of Iran's powerful Revolutionary Guard has disclosed his country has given fighters in Gaza the ability to produce longer-range missiles on their own without direct shipments"""" Iran says Palestinians in the Gaza Strip should be """"""""equipped"""""""" to defend themselves against Israel."""" World's Most Expensive Coffee Made of Feces is Tainted by 'Horrific' Civet Abuse - They're kept in tiny cages separated from their young &amp"";"" force-fed only coffee cherries. Kopi Luwak surged in popularity since 2007 film 'The Bucket List' (x-post from r/nature)"""" Singapore taxi driver returns $900k left by passengers"";;;;;;",0.16
2013-05-01,"India Bans Captive Dolphin Shows as Morally Unacceptable - Says they're highly intelligent &amp;"" should be seen as non-human persons with their own specific rights. Intelligence reports confirm that China is quietly encouraging regime change in North Korea and is grooming Kim's older brother Kim Jong-nam to take over his role when Kim Jong-un's control over the country crumbles. Teen dies after hiding embarrassing testicle lump Preschools may get right to bar unvaccinated children A retired Church of England priest has been found guilty of a catalogue of historic sex attacks on young children has been jailed for 10 years Large majorities in the Muslim world want the Islamic legal and moral code of sharia as the official law in their countries China demands North Korea release captured Chinese. British police officers will be forced to name any friends who work in the media or else face the sack under new guidelines"""" Worldwide Protests Against Monsanto Scheduled For May 25th North Korea releases Chinese fishing crew. Nazi Swastika Flag Raised Near Palestinian Mosque 'WikiLeaks' founder Julian Assange said that he has received a series of unclassified instant message exchanges from UK intelligence officials suggesting that he is being framed.' Eddie Izzard: Two more tours and Ill be mayor - Izzard will seek Labour's nomination to run in the 2020 London Mayoral Election Climber's phone call from Everest 'illegal' Catholic Church takes on reproductive rights in Philippines risks further alienation. """"""""We know (greater access to birth control) will just snowball later on. After this they will file bills for divorce euthanasia abortion and homosexual marriages."""""""""""" Residents of a western Mexico area who endured months besieged by a drug cartel cheered the arrival of hundreds of Mexican soldiers Monday. [x-post from /r/worldevents] [UK] Tory Lord beleives Gay marriage bill may lead to 'lesbian queen and artificially inseminated heir' | He beleives the legislation could allow him to marry his son to escape inheritance tax Church of Scotland votes to allow gay ministers Russian spacecraft returns to Earth with most of its furry crew dead B.C. police find first counterfeits of new 100$ polymer bills meant to be impossible to have counterfeits"""" Syria and Israel in exchange of fire Saudi Arabia executes 5 Yemenis displays bodies"""" UK signals support for EU import of Canadian tar sands oil: Leaked papers show UK rejects proposal to classify oil from tar sands as highly polluting a label that would deter EU countries from importing it"""" Tunisia topless Femen activist arrested for 'immoral gestures': """"""""Our society is Muslim and we do not accept this marginal behaviour"""""""""""" Homeless Melbourne girl 'gang-raped'"";;;;;;;",0.11
2013-07-01,"Norwegian rape victim sentenced to 1 year and 4 months of prison in Dubai for sex outside of marriage. Queen gives royal assent to same-sex marriage legislation;"" gay marriage now legal in England and Wales Same-sex marriage legalized in England Wales"""" Li Jianxin a Chinese whistleblower was rammed by a car blinded with acid and deprived of two of his fingers."""" Russia bursts into top five strongest economies replacing Germany"""" EU to abandon net neutrality - The new rule would undo the EU's previous policy of ensuring so-called network neutrality - a principle which states that ISPs must not give any content preferential treatment and that any video article or web page should get just as much bandwidth as another."""" Shark Finning and Over Fishing. More people need to understand how much of a problem this is. 12 people are killed each year by sharks but an estimated 11 417 sharks are killed EVERY HOUR."""" US surveillance becomes election issue in Germany - creates political turbulence for Merkel Shark Finning Banned By EU U.S. to Russia: Turn over Snowden or risk 'long-term problems' Same-sex marriage set to enter UK law later this week 19 children die more sick after eating free lunch in Indian primary school official says"""" Israel among most corrupt of OECD countries Approximately 5 000 Syrians are dying each month and an average of 6 000 people flee the country every day UN officials reported Tuesday. Since the war began nearly 93 000 people are dead and 1.8 million have fled."""" Israel set to approve over 900 new settlement homes in West Bank Stolen paintings Matisse Picasso Monet and Gauguin burnt by thieves because they wouldn't sell suspects' mom says"""" Britain's Chemical Sales To Syria Revealed - Britain has approved more than 12bn in military sales to countries it condemns for human rights abuses including Syria."""" Putin says U.S. ties more important than Snowden US drone strike killed key al-Qa'ida leader Saeed al-Shihri in Yemen Winner of $3.2million at age 16 now has $3000 left 10 years later Petty police corruption shown in the UK as officer's ex-girlfriend is harassed with false accusations"""" U.N. officials say 5 000 people a month are being killed in Syria - flight of refugees worst since Rwanda genocide"""" Tibetans lose patience after 50 years of peaceful protest Canadian First Nations people were used as test subjects for malnutrition experiments without their knowledge Catholic school expels school girl who was raped during school trip. School says she broke curfew and had been drinking alcohol"";;;;;;;",0.09
2013-08-01,"Exclusive: CIA Files Prove America Helped Saddam as He Gassed Iran Snowden Covered His Tracks Well;"" How Many Other NSA Staffers Did The Same?: 'U.S. government's efforts to determine which highly classified materials Snowden took from the National Security Agency have been frustrated by Snowden's sophisticated efforts to cover his digital trail..' Syria: UN Inspectors 'Shot At By Snipers' LSD is good for you say Norway researchers"""" US military intervention in Syria would 'repeat the mistakes' of Iraq war Russia warns"""" Syrian official: Israel will be under fire if the US strikes in Syria. Top Editors Call Out UK Govt: 'Detention of Miranda Undermines Free Press': Sharply worded open letter from the heads of leading European papers echoes mass outrage at abuse of anti-terrorism laws to intimidate journalists Alexander runs the US cyberwar effort an empire he built over eight years by insisting that our vulnerability to digital attacks requires amassing ever more authority. In his telling the threat is so huge that the nation has little option but to put the entire Internet under his control."""" Navy ready to launch first strike on Syria: Britain is planning to join forces with America and launch military action against Syria within days in response to the gas attack believed to have been carried out by President Bashar al-Assads forces against his own people Wikileaks leaks alleged emails between American officials and intelligence contractors. Finnish Court Censors Website That Criticizes Censorship -- While the site itself doesnt host or link to illegal content the court argues that societys obligation to protect the children trumps freedom of speech in this case"""" Jehovahs Witness elders stonewalled a police probe into church members sexual abuse. They claimed they had a duty to God not to cooperate with the investigation. Taiwan Seizes 2 626 Rare Turtles Bound for Dinner Plates in China - """"""""After consuming up their own turtles now they are turning their eyes to Southeast Asia &amp"";"" Taiwan "" said a Council of Agriculture official. """"""""Since the turtles are not seen often in the wild many must've been involved."""""""""""" Church of the Flying Spaghetti Monster AKA """"""""Pastafarians"""""""" stage satirical march in Moscow. Police detain and charge 8 with organizing an unsanctioned rally."""" Alexei Navalny who is also an anti-corruption blogger was detained late Sunday at an event for infringing """"""""the rights and legal interests of other citizens "" an unnamed police official told Interfax news agency."""" """"Britain's anti-terror legislation should be widened to cover the publication and passing on of official government secrets the former Metropolitan Police Commissioner Lord Blair has suggested."""""""""""" Gay reporter James Kirchick kicked off Russias RT news network for protesting anti-gay laws Russia to US: Once again we call not to repeat past mistakes not to allow actions that contradict international law."""" Feasting &amp"";"" Fighting: the Long-Lost Secrets of Beowulf - Archaeologists in Denmark have excavated the 6th-century great dining hall at the center of the epic work. The dark secrets of Englands oldest work of epic literature are emerging from under a field. Syria lets U.N. inspect gas attack site Washington says too late"""" 'Our generation is a lost cause': Spain's youth struggle to chart a life amid economic crisis Hysteria around chemical attack suits those who want military intervention in Syria - Sergey Lavrov Foreign Minister of Russia"""" Flouting International Rejection of Weapons US to Supply Saudi Arabia With Cluster Bombs -- The U.S. and Saudi Arabia have refused to sign the Convention on Cluster Munitions which prohibits use and transfer of the weapons noted for their harm to civilian populations years after they are dropped"""" 1 000-strong Burmese Buddhist mob burns Muslim homes and shops"""" Saudi Arabia to have 16 nuclear reactors to be ready by 2030"";;;;;",0.08
2013-11-01,"'What's it like working with Mexican drug cartels?' Banking giant JPMorgan cancels Twitter Q&amp;""A after thousands of abusive tweets The world's oceans are becoming acidic at an """"""""unprecedented rate"""""""" and may be souring more rapidly than at any time in the past 300 million years"""" China's aid to Philippines dwarfed by Ikea - China is the world's second largest economy and closer to the Philippines than other major donors. Yet the $1.6 million in aid it pledged was less than the check written by Swedish furniture store Ikea. NSA files: New York Times defends the Guardian's Snowden leaks. Councils in Britain to be given powers to ban peaceful protests that might disturb local residents - Anger mounts at shockingly open-ended Anti-social Behaviour Crime and Policing Bill that could also see youngsters banned from skateboarding forbid teenagers from using local parks"""" Embarrassment after embarrassment for Australia at Warsaw climate change meeting The Central Intelligence Agency is secretly collecting bulk records of international money transfers handled by companies like Western Union  including transactions into and out of the United States Al-Qaeda-linked rebels apologise after cutting off head of wrong person The Most Nefarious Part Of The TPP Proposal: Making Copyright Reform Impossible JPMorgan allegedly paid $80 000 a month to Wen Jiabao's daughter"""" Bangladeshi Garment Workers win a 77% pay rise following a four day shutdown of hundreds of factories and a series of violent confrontations involving tens of thousands. Forest change mapped by Google Earth - From 2010 to 2012 the Earth lost a combined """"""""forest"""""""" the size of Mongolia enough trees to cover the UK six times."""" China plans to loosen one-child policy and abolish labour camps. A French footballer has been held against his will in Qatar for two years due to controversial labour laws - he has now written to former World Cup 2022 ambassadors Zinedine Zidane and Pep Guardiola to ask for their help Mexicos meth country is totally tweaking out. In Michoacans meth heartland a drug gang has gone medieval militias are up in arms and the government has put boots on the ground."""" Oslo Hells Angels invite locals into clubhouse for mulled wine and ginger biscuits. """"""""You will have the opportunity to look around and since it's Christmas we will probably serve mulled wine and ginger biscuits too "" says Rune Olsgaard the group's spokesman"""" Germany flies 70 tonnes of aid to Philippines NY Court Rules Ancient Gold Tablet Belongs to Berlin not Holocaust Survivors Heirs - Assyrian tablet found in Iraq by German archaeologists went on display in 1934 &amp"";"" disappeared at start of WWII. Holocaust survivor says he traded cigarettes for it with a Russian soldier."""" A Pacifist at War: In the embattled region of eastern Congo the United Nations is deploying a real combat brigade for the first time. It's being led by a German pacifist who believes peacekeeping sometimes requires the use of military force. His approach appears to be working"""" Fukushima: 8 news cases of children with thyroid cancer in last two months. Now 59 cases. Schools using Water Bottles to Shield Students A Green Pope? Pope to write encyclical (doctrinal statement) about """"""""nature humans and environmental pollution"""""""" appears in photo holding item with anti-fracking statement"""" A BBC investigation has revealed concerns that young girls are being brought to Scotland to undergo female genital mutilation (FGM) because the country is seen as a """"""""soft touch""""""""."""" CIA spills Camp David secrets on 1978 Egyptian-Israeli agreement - Declassified documents reveal how US intelligence helped Jimmy Carter strike a Middle Eastern bargain First ever American ballerina to join the Bolshoi has quit accusing the theater of extortion"""" Germany: Ally and Accomplice in U.S. Secret War on Terror"";;;;;;",0.08
2014-02-01,"The UK Government U-Turns on Election Promise;"" dropping plans to give voters the ability to dismiss Members of Parliament for serious wrongdoing. Russian MPs seek nationwide ban on child beauty pageants Islamic fundamentalists in Syria have started to destroy archaeological treasures such as Byzantine mosaics and Greek and Roman statues because their portrayal of human beings is contrary to their religious beliefs"""" Silk road 2 hacked. All bitcoins stolen. Twitter is being blocked in Venezuela by the Government """"No banks should be promised eternal life"""""""" - Norwegian governor of the Norwegian federal reserve says."""" Belgium's parliament removes age limit on euthanasia Russia Expands Adoption Ban -- Russia is now """"""""forbidding single people (gay or straight) who live in any country where gay marriage is legal from adopting Russian children"""""""""""" Volcano erupts in Indonesia 100 000 evacuated airports closed"""" ISIL Stones Syrian Girl to Death for Facebook Membership. Says It Is Tantamount To Adultery Australian politician who has never heard of VPN's""; let alone understand what they are for;"" believes internet file downloads can be stopped by legislation of ISP's Mexican officials introduce bills seeking to relax marijuana laws Four African nations pledge to end all sales of ivory: Botswana Gabon Chad and Tanzania won't sell their ivory stockpiles to protect elephants from poaching"""" TEPCO latest readings detects record levels of radioactive cesium near Pacific 600 times higher than allowed to be released into the ocean"""" Britain's hundred years of conflict. If withdrawal from Afghanistan is successful it will be the first time in 100 years that nation has not been at war."""" Snowden 'left in the lurch' by EU Parliament | An EU parliament's committee has issued a damning report about the scale and the impact of mass surveillance. But there is no consensus on an amendment to give asylum to intelligence leaker Edward Snowden. Belgium now the first country to legalize euthanasia for minors under 18. Al Jazeera: 70 men and women executed in DR Congo """"""""mainly by armed groups to spread terror among the population"""""""""""" 9 Die in Fire Destroying Argentine Bank Archives Kerry says China willing to pressure North Korea on nuclear plans Hamas blocks UN textbooks in Gaza saying they focus too much on peaceful conflict resolution"""" Crimes against humanity in NKorea UN panel finds: A U.N. Commission of Inquiry has found that crimes against humanity have been committed in North Korea and recommends that its findings be referred to the International Criminal Court"""" Big Brother HSBC bank wanted to know what I'd spend my money on Penguin Books India has reportedly agreed to recall and destroy all copies in India of a book about Hinduism by a U.S. religious scholar in response to a civil case filed by a nationalist organisation raising concerns over the increasing sway of interest groups over freedom of expression."""" Last-Place Speed Skater Wins Gold Medal After Everyone Else Falls Down"";;;;;",0.07
2014-03-01,"Pirate Bay Founder Peter Sunde Gets Ready to Run for European Parliament Microsoft sells your Information to FBI;"" Syrian Electronic Army leaks Invoices The Trans-Pacific Partnership Will """"""""Significantly"""""""" Restrict Online Freedoms"""" We Need Three Planets to Keep the Human Race Alive NASA Scientist Says"""" The last U.S. ambassador to the Soviet Union argues that Russian President Vladimir Putins actions in Ukraine are a response to years of hostility from the United States including the eastward expansion of NATO the bombing of Serbia and the expansion of American military bases in Eastern Europe."""" First ever female genital mutilation prosecutions announced in UK Putin calls on billionaires to pay taxes in Russia Putin orders Russias central bank to help his billionaire friends after U.S. targets them for sanctions Desalination plant to be built in Gaza - The European Union and UNICEF launched a project Thursday to build a desalination plant in the Gaza Strip to provide 75 000 Palestinians with drinking water"""" Russia raids Ukrainin factory in southern Russia halts production. The factory is owned by pro-European MP Petro Poroshenko."""" The underlying message from the head of Russia's biggest oil company Rosneft was clear: If Europe and the United States isolate Russia Moscow will look East for new business energy deals military contracts and political alliances."""" A video of a female Egyptian university student walking through the Cairo University campus while being whistled and shouted at by male students has caused an international and viral backlash against sexual harassment in Egypt A member of Russia's parliament who voted against annexation of Ukraine's Crimea might be expelled from the Duma A number of gunman alleged to be teenagers enter the five-star Serena Hotel in Kabul with guns in their socks hide out in the washroom for three hours then storm the restaurant. Nine diners were killed including women from Canada and New Zealand. Elite Afghan forces soon dispatched all of them."""" In Saudi Arabia Indonesian maids are on death row for sorcery"""" Head of Ukraine TV slapped around by politicians forced to resign on camera"""" An entire city in Sweden is being relocated to a new site 2 miles away all thanks to the destructive impact of local mining that is already spreading cracks through the ground Kiruna is built upon."""" Ukraine guarantees rights status of Crimean Tatars | Ukrainian parliament passes bill granting Crimean Tatars status as national minority regional indigenous population."""" The first Ukrainian soldier killed in Russias invasion of Ukraines Crimean peninsula is Serhiy Kokurin 37 a warrant officer from the Simferopol military unit | Kokurin was on the observation tower and shot in the heart when Russian-backed forces attacked his military unit."""" Russia Bewildered by US Sanctions Warns Retaliation Will Not Take Long"""" Russian troops have taken over three Ukrainian warships in Crimea a Ukrainian navy official said after Moscow's seizure and annexation of the peninsula | V. Seleznyov a Ukrainian military spokesman said the Russian forces used stun grenades as they stormed the corvette Ternopol in Sevastopol."""" Iraqi cleric who spoke out against terrorism gunned down in Mosul Satellite images show Iran is building a fake aircraft carrier Russia to refrain from retaliatory moves against US Ukraine: Putin"""" Orange shares all its call data with France's intelligence agency DGSE according to new Snowden leak"""""";;;;;;;",0.08
